,ResNet,DenseNet,EfficientNet,ResNext,WideNet,VGG
0,100.0,96.875,81.25,96.875,100.0,96.875
1,100.0,100.0,81.25,100.0,96.875,96.875
2,90.625,90.625,81.25,93.75,96.875,100.0
3,100.0,93.75,68.75,96.875,93.75,96.875
4,96.875,96.875,68.75,100.0,93.75,96.875
5,100.0,100.0,84.375,100.0,93.75,96.875
6,96.875,96.875,93.75,93.75,96.875,96.875
7,93.75,100.0,87.5,93.75,100.0,96.875
8,93.75,96.875,71.875,93.75,100.0,93.75
9,90.625,93.75,84.375,93.75,93.75,96.875
10,90.625,96.875,81.25,96.875,100.0,96.875
11,93.75,96.875,81.25,93.75,100.0,96.875
12,96.875,93.75,84.375,96.875,93.75,100.0
